run_id,timestamp,datetime,switch_id,port_no,throughput_mbps,packet_loss_rate,latency_ms,jitter_ms,rx_bytes,tx_bytes,rx_packets,tx_packets,rx_dropped,tx_dropped,label
run_20260510_190310,1778436215.7737968,19:03:35,3,1,0.076801,0.394639,7.006,1.6186,13527058,10980178,50041,40035,0,0,CAPACITY_EXHAUSTED
run_20260510_190310,1778436215.7741582,19:03:35,5,1,0.008812,0.172042,9.724,1.5349,2073036,2073330,14610,14613,0,0,CAPACITY_EXHAUSTED
run_20260510_190310,1778436215.7745159,19:03:35,4,1,0.347146,0.12692,10.175,1.3742,45310166,39131268,129340,111307,0,0,CAPACITY_EXHAUSTED
run_20260510_190310,1778436217.8372846,19:03:37,3,1,0.06407,0.385916,6.263,1.5638,13554180,10996704,50132,40088,0,0,CAPACITY_EXHAUSTED
run_20260510_190310,1778436217.8386629,19:03:37,1,4,4.659606,0.163673,4.59,1.9713,2283302,89039110,17720,70668,0,0,CAPACITY_EXHAUSTED
run_20260510_190310,1778436217.8386629,19:03:37,1,1,0.18208,0.328289,4.59,1.9713,127960564,31375588,155181,84933,0,0,CAPACITY_EXHAUSTED
run_20260510_190310,1778436217.8386629,19:03:37,1,2,0.119517,0.385916,4.59,1.9713,24134102,14277972,60524,52108,0,0,CAPACITY_EXHAUSTED
run_20260510_190310,1778436217.8386629,19:03:37,1,3,0.348482,0.100497,4.59,1.9713,49005952,43318422,136594,119916,0,0,CAPACITY_EXHAUSTED
run_20260510_190310,1778436217.8399653,19:03:37,2,1,0.091216,0.267991,5.712,1.2873,17599036,15548472,47291,42063,0,0,CAPACITY_EXHAUSTED
run_20260510_190310,1778436217.8406503,19:03:37,5,1,0.008796,0.163673,6.622,1.6328,2075308,2075602,14626,14629,0,0,CAPACITY_EXHAUSTED
run_20260510_190310,1778436217.8411777,19:03:37,4,1,0.331092,0.100497,7.07,1.4824,45410404,39216800,129629,111553,0,0,CAPACITY_EXHAUSTED
run_20260510_190310,1778436219.9017673,19:03:39,1,4,4.412481,0.15591,9.108,2.1304,2285574,90177036,17736,71436,0,0,CAPACITY_EXHAUSTED
run_20260510_190310,1778436219.9017673,19:03:39,1,1,0.171082,0.267991,9.108,2.1304,129386182,31419708,156248,85057,0,0,CAPACITY_EXHAUSTED
run_20260510_190310,1778436219.9017673,19:03:39,1,2,0.125015,0.512107,9.108,2.1304,24179302,14310212,60670,52210,0,0,CAPACITY_EXHAUSTED
run_20260510_190310,1778436219.9017673,19:03:39,1,3,0.363693,0.115466,9.108,2.1304,49111514,43412214,136897,120184,0,0,CAPACITY_EXHAUSTED
run_20260510_190310,1778436219.9036682,19:03:39,3,1,0.066559,0.512107,7.674,1.5542,13581396,11013896,50226,40146,0,0,CAPACITY_EXHAUSTED
run_20260510_190310,1778436219.904715,19:03:39,4,1,0.344705,0.115466,10.976,1.6339,45512314,39305714,129926,111812,0,0,CAPACITY_EXHAUSTED
